dlm,Llama-3.1-8B,Mistral-7B,Qwen2.5-7B,Gemma-2-9B,OLMo-2-7B
LLaDA-8B,"+0.077 [-0.345, +0.785] ns","+0.196 [-0.248, +1.046] ns","+0.016 [-0.526, +0.562] ns","+0.431 [-0.334, +1.538] ns","+0.015 [-0.203, +0.326] ns"
LLaDA-MoE,"-0.116 [-0.831, +0.977] ns","+0.003 [-0.801, +1.290] ns","-0.177 [-0.769, +0.711] ns","+0.238 [-0.579, +1.754] ns","-0.178 [-0.757, +0.638] ns"
Dream-7B,"-0.257 [-1.126, +0.783] ns","-0.137 [-1.047, +1.056] ns","-0.318 [-1.419, +0.649] ns","+0.097 [-1.103, +1.606] ns","-0.319 [-0.792, +0.143] ns"
