task,test_type,n_subtests,diffusion_wins,ar_wins,diffusion_win_rate,mean_delta_gap_llama_minus_llada,case_weighted_diffusion_win_rate
qqp,DIR,7,1,6,0.14285714285714285,-0.04013612055006412,0.015271838729383017
qqp,INV,8,7,1,0.875,0.007725320152552338,0.925096985974336
qqp,MFT,36,19,17,0.5277777777777778,0.006650593807776783,0.4775212904077636
sentiment,DIR,5,3,2,0.6,0.02812040123807206,0.8932536293766012
sentiment,INV,13,1,12,0.07692307692307693,-0.01776663828302933,0.06142506142506143
squad,INV,5,0,5,0.0,-0.0163181111152337,0.0
squad,MFT,18,11,7,0.6111111111111112,0.03157942408602326,0.6083304959709455
